iter	Accuracy	MultiClass
132	0.9580265096	0.7477011573
133	0.9580265096	0.7419230459
134	0.9609720177	0.7343425429
135	0.9602356406	0.7282979146
136	0.9617083947	0.7216485363
137	0.9639175258	0.7141905664
138	0.9639175258	0.7087065963
139	0.9639175258	0.7013452307
140	0.9646539028	0.6949740877
141	0.9653902798	0.6895577184
142	0.9661266568	0.683625463
143	0.9661266568	0.6776402352
144	0.9661266568	0.6718437096
145	0.9668630339	0.6657324511
146	0.9683357879	0.6596874924
147	0.9683357879	0.6549587443
148	0.970544919	0.6496268257
149	0.970544919	0.644337002
150	0.971281296	0.6385518563
151	0.972017673	0.6341535827
152	0.9727540501	0.6280735584
153	0.9749631811	0.6219786453
154	0.9764359352	0.6158831124
155	0.9764359352	0.6099410169
156	0.9771723122	0.6052231147
157	0.9771723122	0.6007777713
158	0.9779086892	0.5959822117
159	0.9779086892	0.5914104775
160	0.9786450663	0.5870640049
161	0.9801178203	0.5827123126
162	0.9808541973	0.5793952289
163	0.9808541973	0.5744863728
164	0.9801178203	0.5697966245
165	0.9815905744	0.5645238376
166	0.9823269514	0.5610560702
167	0.9823269514	0.5564403223
168	0.9823269514	0.5529875538
169	0.9845360825	0.5484534587
170	0.9845360825	0.54424556
171	0.9860088365	0.5395537839
172	0.9852724595	0.5356942519
173	0.9860088365	0.5312132587
174	0.9860088365	0.5263260508
175	0.9860088365	0.5229283654
176	0.9860088365	0.5197728771
177	0.9860088365	0.5152663967
178	0.9874815906	0.5111383019
179	0.9874815906	0.5068859213
180	0.9874815906	0.5028448227
181	0.9874815906	0.4995200465
182	0.9874815906	0.4959640493
183	0.9874815906	0.4918934132
184	0.9874815906	0.4885014438
185	0.9889543446	0.4840440656
186	0.9889543446	0.4804621612
187	0.9889543446	0.4764623535
188	0.9889543446	0.4727976082
189	0.9896907216	0.4690753526
190	0.9896907216	0.4654445991
191	0.9896907216	0.4625795026
192	0.9896907216	0.4593735838
193	0.9896907216	0.4554315737
194	0.9896907216	0.4518976122
195	0.9896907216	0.4484088037
196	0.9896907216	0.4448676208
197	0.9904270987	0.4419730514
198	0.9911634757	0.4385478096
199	0.9918998527	0.4350190304
200	0.9918998527	0.4332284113
201	0.9918998527	0.4307604817
202	0.9918998527	0.428342704
203	0.9926362297	0.4249687088
204	0.9926362297	0.4221989741
205	0.9926362297	0.4188367411
206	0.9926362297	0.415665294
207	0.9926362297	0.4126055574
208	0.9926362297	0.4103636073
209	0.9926362297	0.407709693
210	0.9926362297	0.4049382384
211	0.9933726068	0.402269603
212	0.9933726068	0.3998096804
213	0.9933726068	0.3975122006
214	0.9933726068	0.3948493258
215	0.9933726068	0.3922199355
216	0.9933726068	0.39018568
217	0.9933726068	0.3876835643
218	0.9933726068	0.3849829976
219	0.9941089838	0.3825634233
220	0.9941089838	0.3800584695
221	0.9941089838	0.3778255639
222	0.9941089838	0.3752921562
223	0.9941089838	0.3726281195
224	0.9941089838	0.3700532564
225	0.9941089838	0.367541435
226	0.9941089838	0.3649734198
227	0.9948453608	0.3627715882
228	0.9955817378	0.3604145023
229	0.9955817378	0.3583885522
230	0.9955817378	0.356289284
231	0.9955817378	0.3541429624
232	0.9955817378	0.3521856562
233	0.9955817378	0.3498791727
234	0.9955817378	0.3476031769
235	0.9955817378	0.3451332156
236	0.9955817378	0.3427967186
237	0.9955817378	0.3408193383
238	0.9955817378	0.3388807413
239	0.9955817378	0.3367516789
240	0.9955817378	0.3348912547
241	0.9963181149	0.3329390818
242	0.9963181149	0.330950099
243	0.9963181149	0.3285410692
244	0.9963181149	0.3266165713
245	0.9963181149	0.3246083401
246	0.9963181149	0.3225900693
247	0.9970544919	0.3208718789
248	0.9970544919	0.3190196697
249	0.9970544919	0.3171605461
250	0.9970544919	0.3154782896
251	0.9970544919	0.3141888834
252	0.9970544919	0.3125677381
253	0.9970544919	0.3103531556
254	0.9977908689	0.3086218497
255	0.9977908689	0.3069819181
256	0.9985272459	0.3058433957
257	0.9985272459	0.3042475652
258	0.9985272459	0.3021822493
259	0.9985272459	0.3008581557
260	0.9985272459	0.299595343
261	0.999263623	0.2978375168
262	0.999263623	0.2959917763
263	0.999263623	0.2947177362
264	0.999263623	0.2932070737
265	0.999263623	0.2917672646
266	0.999263623	0.289861642
267	0.999263623	0.288200994
268	0.999263623	0.2863322657
269	0.999263623	0.2847176185
270	0.999263623	0.2834187226
271	0.999263623	0.2820726859
272	0.999263623	0.2804905481
273	0.999263623	0.2788776499
274	0.999263623	0.2776970683
275	0.999263623	0.2764374218
276	0.999263623	0.2749126413
277	0.999263623	0.2739548606
278	0.999263623	0.2727547392
279	0.999263623	0.2714691856
280	0.999263623	0.2697824939
281	0.999263623	0.2684250769
282	0.999263623	0.2671197596
283	0.999263623	0.2657334655
